OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,STDY_TITLE,STDY_LABEL,STDY_YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,SEG_COMPKEY,SHAPE_Length
224,76850010,R,490101,MADISON ST OFF RAMP,91,308689,"MADISON ST OFF RP, SE/O 7TH AVE; NW FLOW; CHA TUBE; 26Jul2012 10:00",15422,9527,1633,945,"MADISON ST OFF RP, SE/O 7TH AVE","308689, 2012-07-26, NW",2012,Y,"MADISON ST OFF RP, SE/O 7TH AVE",16657.2,0.981,16341,16300,490101,1244.03245887907
225,76600010,R,490103,JAMES ST OFF RAMP,53,308688,"JAMES ST OFF RP, S/O JAMES ST; N FLOW; CHA TUBE; 26Jul2012 10:00",21128,13110,2054,1581,"JAMES ST OFF RP, S/O JAMES ST","308688, 2012-07-26, N",2012,Y,"JAMES ST OFF RP, SE/O JAMES ST",22856.4,0.981,22422,22400,490103,434.652986933923
226,78150010,R,489863,UNIVERSITY ST ON RAMP,109,306992,"UNIVERSITY ST ON RP, NE/O UNIVERSITY ST; NE FLOW; CH1; 08Mar2012 11:30",7095,4630,409,856,"UNIVERSITY ST ON RP, NE/O UNIVERSITY ST","306992, 2012-03-08, NE",2012,Y,"UNIVERSITY ST ON RP, N/O I5 NB",7840.2,1.046,8201,8200,489863,1876.98042552455
227,156300030,N,19710,S COLUMBIAN WAY,157,310073,"S COLUMBIAN (EB&WB) WAY, NW/O 14TH AVE S; TOTAL FLOW; CH(AGG); 03Apr2012 10:15",33143,20322,2484,3063,"S COLUMBIAN (EB&WB) WAY, NW/O 14TH AVE S","310073, 2012-04-03, TOTAL",2012,Y,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",37771.6,0.984,37167,37200,19710,5077.06393860914
228,50650090,N,8762,ALASKAN WY VI NB & SB,281,0, ,62000,0,0,0, ,"WSDOT, ADT",2012,Y, ,0,0,0,62000,8762,8280.3911337899
229,40250440,N,7537,51ST AVE S,256,311205,"51ST AVE S, S/O S BANGOR ST; TOTAL FLOW; CH(AGG); 03May2012 11:15",5598,3120,371,493,"51ST AVE S, S/O S BANGOR ST","311205, 2012-05-03, TOTAL",2012,Y,"51ST AVE S, S/O S BANGOR ST",5687.4,1.002,5699,5700,7537,9859.18063674386
230,110750030,N,14073,EAST GREEN LAKE WAY N,224,309949,"EAST GREEN LAKE WAY N, NE/O N 57TH ST; TOTAL FLOW; CH(AGG); 09Oct2012 12:15",18304,12091,1397,2116,"EAST GREEN LAKE WAY N, NE/O N 57TH ST","309949, 2012-10-09, TOTAL",2012,Y,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",19440.4,0.978,19013,19000,14073,5650.60023890402
231,70000070,N,10638,GILMAN AVE W,85,311049,"GILMAN AVE W, NW/O W EMERSON PL; TOTAL FLOW; CH(AGG); 01Aug2012 10:15",11997,6886,846,990,"GILMAN AVE W, NW/O W EMERSON PL","311049, 2012-08-01, TOTAL",2012,Y,"GILMAN AVE W, NW/O W EMERSON PL",12421.6,1.008,12521,12500,10638,4854.07247940433
232,172350300,N,21625,SW 106TH ST,229,311257,"SW 106TH ST, W/O SEOLA BEACH DR SW; TOTAL FLOW; CH(AGG); 01May2012 11:15",9248,5332,708,815,"SW 106TH ST, W/O SEOLA BEACH DR SW","311257, 2012-05-01, TOTAL",2012,Y,"SW 106TH ST, W/O SEOLA BEACH DR SW",9409.2,1.002,9428,9400,21625,3274.92272363715
233,185250170,N,23222,W DRAVUS ST,12,311263,"W DRAVUS ST, E/O 20TH AVE W; TOTAL FLOW; CH(AGG); 01Aug2012 10:00",20521,11428,1342,1725,"W DRAVUS ST, E/O 20TH AVE W","311263, 2012-08-01, TOTAL",2012,Y,"W DRAVUS ST, E/O 20TH AVE W",21422.6,1.008,21594,21600,23222,1380.02633498574
234,93150200,N,12312,QUEEN ANNE AVE N,128,309650,"QUEEN ANNE AVE N, S/O CROCKETT ST; TOTAL FLOW; CH(AGG); 10Oct2012 11:15",11303,6307,726,865,"QUEEN ANNE AVE N, S/O CROCKETT ST","309650, 2012-10-10, TOTAL",2012,Y,"QUEEN ANNE AVE N, S/O CROCKETT ST",11550,0.978,11296,11300,12312,5505.52887319237
235,4450010,N,1840,14TH AVE,130,311030,"14TH AVE, N/O E YESLER WAY; TOTAL FLOW; CH(AGG); 23Apr2012 10:30",8123,4893,633,746,"14TH AVE, N/O E YESLER WAY","311030, 2012-04-23, TOTAL",2012,Y,"14TH AVE, N/O E YESLER WAY",8932.8,0.984,8790,8800,1840,2319.7598626072
236,81500030,N,11336,LEARY WAY NW,83,309981,"LEARY WAY NW, NW/O 3RD AVE NW; TOTAL FLOW; CH(AGG); 29Feb2012 11:45",26041,15869,2002,2412,"LEARY WAY NW, NW/O 3RD AVE NW","309981, 2012-02-29, TOTAL",2012,Y,"LEARY WAY NW, NW/O 3RD AVE NW",27833.6,1.019,28362,28400,11336,5713.53060452727
237,14850180,N,3605,24TH AVE NW,275,311456,"24TH AVE NW, S/O NW 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 10:15",10323,6413,883,1040,"24TH AVE NW, S/O NW 80TH ST","311456, 2012-11-01, TOTAL",2012,Y, ,10924,1.04,11360,11400,3605,7987.37352069935
238,27200460,N,5484,35TH AVE SW,67,309903,"35TH AVE SW, N/O SW ROXBURY ST; TOTAL FLOW; CH(AGG); 01May2012 11:15",0,9006,1120,1383,"35TH AVE SW, N/O SW ROXBURY ST","309903, 2012-05-01, TOTAL",2012,Y,"35TH AVE SW, N/O SW ROXBURY ST",15988,1.002,16020,16000,5484,2685.90334176113
239,86200680,N,11752,MERIDIAN AVE N,69,308106,"MERIDIAN AVE N, S/O N 145TH ST; TOTAL FLOW; CHB TUBE; 14May2012 10:30",3532,2455,280,450,"MERIDIAN AVE N, S/O N 145TH ST","308106, 2012-05-14, TOTAL",2012,Y,"MERIDIAN AVE N, S/O N 145TH ST",3905.4,1.002,3913,3900,11752,3986.47317772953
240,48050420,N,8469,8TH AVE S,54,307905,"8TH AVE S, S/O S DIRECTOR ST; TOTAL FLOW; CH(AGG); 02May2012 12:00",1821,1167,168,185,"8TH AVE S, S/O S DIRECTOR ST","307905, 2012-05-02, TOTAL",2012,Y,"8TH AVE S, N/O CITY LIMITS",1996.6,1.002,2001,2000,8469,3436.94971094465
241,116500250,N,14903,E UNION ST,258,311091,"E UNION ST, W/O 26TH AVE; TOTAL FLOW; CH(AGG); 27Jun2012 13:00",8685,5185,576,842,"E UNION ST, W/O 26TH AVE","311091, 2012-06-27, TOTAL",2012,Y,"E UNION ST, W/O 26TH AVE",9168.4,0.964,8838,8800,14903,5065.0918082782
242,109100160,N,13894,E CHERRY ST,261,311077,"E CHERRY ST, W/O 26TH AVE; TOTAL FLOW; CH(AGG); 27Jun2012 13:15",7410,4258,483,660,"E CHERRY ST, W/O 26TH AVE","311077, 2012-06-27, TOTAL",2012,Y,"E CHERRY ST, W/O 26TH AVE",7754.6,0.964,7475,7500,13894,5063.2658428403
243,113000280,N,14407,EAST MARGINAL WAY S,175,309953,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 27Nov2012 12:30",9737,6970,910,961,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST","309953, 2012-11-27, TOTAL",2012,Y,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",11856.4,1.04,12331,12300,14407,1679.0023771194
244,5600260,N,2117,15TH AVE NW,213,309494,"15TH AVE NW, S/O NW 80TH ST; S FLOW; CHA TUBE; 01Nov2012 10:30",14937,8823,1435,1093,"15TH AVE NW, S/O NW 80TH ST","309494, 2012-11-01, S",2012,Y,"15TH AVE NW, S/O NW 80TH ST",15741,1.04,16371,16400,2117,8046.17743951545
245,73600060,N,10940,HOLMAN RD NW,84,309975,"HOLMAN RD NW, NE/O 13TH E AVE NW; TOTAL FLOW; CH(AGG); 25Apr2012 13:45",30004,17534,2298,2666,"HOLMAN RD NW, NE/O 13TH E AVE NW","309975, 2012-04-25, TOTAL",2012,Y,"HOLMAN RD NW, NE/O 13TH E AVE NW",31311.8,0.984,30811,30800,10940,7786.59339464637
246,50650220,N,8766,ALASKAN WY VI NB & SB,41,311272,"ALASKAN WY VI (NB&SB), N/O EAST MARGINAL WAY S; TOTAL FLOW; CH(AGG); 07Jun2012 11:15",41811,26465,3797,3842,"ALASKAN WY VI (NB&SB), N/O EAST MARGINAL WAY S","311272, 2012-06-07, TOTAL",2012,Y,"ALASKAN WY VI NB & SB, N/O EAST MARGINAL WAY S",47344.2,0.964,45640,45600,8766,9320.27783212586
247,55650010,N,9303,BOREN AVE,25,309923,"BOREN AVE, NW/O E YESLER WAY; TOTAL FLOW; CH(AGG); 27Mar2012 10:45",17382,10969,1471,1639,"BOREN AVE, NW/O E YESLER WAY","309923, 2012-03-27, TOTAL",2012,Y,"BOREN AVE, NW/O E YESLER WAY",19207,1.046,20091,20100,9303,3403.67355907684
248,104200090,Y,13503,WESTERN AVE,32,311238,"WESTERN AVE, NW/O UNION ST; TOTAL FLOW; CH(AGG); 18Jul2012 11:00",8284,4976,638,774,"WESTERN AVE, NW/O UNION ST","311238, 2012-07-18, TOTAL",2012,Y,"WESTERN AVE, NW/O UNION ST",8927.6,0.981,8758,8800,13503,4200.0811349748
249,102580290,N,13333,WEST SEATTLE BR EB & WB,208,310105,"WEST SEATTLE BR (EB&WB), NE/O FAUNTLEROY WAY SW; TOTAL FLOW; CH(AGG); 11Oct2012 11:15",42211,27509,2023,4911,"WEST SEATTLE BR (EB&WB), NE/O FAUNTLEROY WAY SW","310105, 2012-10-11, TOTAL",2012,Y,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",44395.4,0.978,43419,43400,13333,7828.25358754657
250,102580040,N,531032,WEST SEATTLE BR EB & WB,40,311342,"WEST SEATTLE BR (EB&WB), E/O 1ST AV S OFF RP; TOTAL FLOW; CH(AGG); 18Sep2012 10:45",71808,37990,5185,5049,"WEST SEATTLE BR (EB&WB), E/O 1ST AV S OFF RP","311342, 2012-09-18, TOTAL",2012,Y,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,73124,0.974,71223,71200,531032,2529.16226095419
251,102580040,N,13330,WEST SEATTLE BR EB & WB,2,310116,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP; TOTAL FLOW; CH(AGG); 18Sep2012 10:45",90224,49563,6601,7076,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP","310116, 2012-09-18, TOTAL",2012,Y,"WEST SEATTLE BR (EB&WB) , E/O DELRIDGE-W SEATTLE BR EB ON RP",94440.4,0.974,91985,92000,13330,4775.92542097364
252,139300090,N,18018,NE NORTHGATE WAY,11,310037,"NE NORTHGATE WAY, W/O 15TH AVE NE; TOTAL FLOW; CH(AGG0; 19Apr2012 11:30",17039,9710,1047,1465,"NE NORTHGATE WAY, W/O 15TH AVE NE","310037, 2012-04-19, TOTAL",2012,Y,"NE NORTHGATE WAY, W/O 15TH AVE NE",17639,0.984,17357,17400,18018,4527.71261262254
253,188450151,N,23541,,276,310721,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW; TOTAL FLOW; CH(AGG); 19Sep2012 12:15",7648,4945,651,752,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW","310721, 2012-09-19, TOTAL",2012,Y, ,8691,0.974,8465,8500,23541,1656.74221142687
254,112750300,N,14364,E MADISON ST,147,311083,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E; TOTAL FLOW; CH(AGG); 23Aug2012 11:15",13666,8319,998,1214,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E","311083, 2012-08-23, TOTAL",2012,Y,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",14698.4,1.008,14816,14800,14364,3528.68698485641
255,99400050,N,13038,SWIFT AVE S,162,311236,"SWIFT AVE S, NW/O S ALBRO PL; TOTAL FLOW; CH(AGG); 02Apr2012 11:15",6448,4313,974,580,"SWIFT AVE S, NW/O S ALBRO PL","311236, 2012-04-02, TOTAL",2012,Y,"SWIFT AVE S, NW/O S ALBRO PL",7131.6,0.984,7017,7000,13038,6228.65723918833
256,112750115,N,14348,E MADISON ST,126,310277,"E MADISON ST, SW/O 17TH AVE; TOTAL FLOW; CH(AGG); 10Oct2012 13:15",0,12355,1524,1888,"E MADISON ST, SW/O 17TH AVE","310277, 2012-10-10, TOTAL",2012,Y,"E MADISON ST, SW/O 17TH AVE",22592,0.978,22095,22100,14348,5371.13088777387
257,57350200,N,9450,BROADWAY,198,311041,"BROADWAY, S/O E DENNY WAY; TOTAL FLOW; CH(AGG); 17Sep2012 11:45",0,5660,589,855,"BROADWAY, S/O E DENNY WAY","311041, 2012-09-17, TOTAL",2012,Y,"BROADWAY, S/O E DENNY WAY",10787,0.974,10507,10500,9450,5032.18023101974
258,164950115,N,20699,S LUCILE ST,230,307242,"S LUCILE ST, W/O 12TH AVE S; TOTAL FLOW; CHB TUBE; 02Apr2012 11:00",9223,5891,892,911,"S LUCILE ST, W/O 12TH AVE S","307242, 2012-04-02, TOTAL",2012,Y,"S LUCILE ST, W/O 12TH AVE S",10251.8,0.984,10088,10100,20699,2022.63837371979
259,53900160,N,9125,BEACON AVE S,199,311040,"BEACON AVE S, N/O S SPOKANE ST; TOTAL FLOW; CH(AGG); 08Nov2012 10:15",10259,6558,789,1075,"BEACON AVE S, N/O S SPOKANE ST","311040, 2012-11-08, TOTAL",2012,Y,"BEACON AVE S, N/O S SPOKANE ST",11071.75,1.04,11515,11500,9125,3460.82143499035
260,161950010,N,20314,S HOLGATE BR,52,307240,"S HOLGATE BR, E/O S HOLGATE ST; TOTAL FLOW; CHB TUBE; 02Apr2012 10:45",6556,4338,507,714,"S HOLGATE BR, E/O S HOLGATE ST","307240, 2012-04-02, TOTAL",2012,Y,"S HOLGATE BR, E/O S HOLGATE ST",7172,0.984,7057,7100,20314,6227.30517120531
261,131450030,N,16680,NE 145TH ST,160,311248,"NE 145TH ST, E/O 5TH AVE NE; TOTAL FLOW; CH(AGG); 30Jul2012 10:45",17189,9061,1260,1129,"NE 145TH ST, E/O 5TH AVE NE","311248, 2012-07-30, TOTAL",2012,Y,"NE 145TH ST, E/O 5TH AVE NE",18130.2,0.981,17786,17800,16680,7977.1892470751
262,119750210,N,15279,N 145TH ST,232,311095,"N 145TH ST, W/O MERIDIAN AVE N; TOTAL FLOW; CH(AGG); 26Jun2012 12:15",25113,13848,1586,2026,"N 145TH ST, W/O MERIDIAN AVE N","311095, 2012-06-26, TOTAL",2012,Y,"N 145TH ST, W/O MERIDIAN AVE N",26457.4,0.964,25505,25500,15279,4983.29093829253
263,127150040,N,16114,N NORTHGATE WAY,259,310013,"N NORTHGATE WAY, W/O ASHWORTH AVE N; TOTAL FLOW; CH(AGG); 26Jun2012 11:30",0,14825,1729,2037,"N NORTHGATE WAY, W/O ASHWORTH AVE N","310013, 2012-06-26, TOTAL",2012,Y,"N NORTHGATE WAY, W/O ASHWORTH AVE N",29037.6,0.964,27992,28000,16114,4267.85702774814
264,139300040,N,18013,NE NORTHGATE WAY,242,310035,"NE NORTHGATE WAY, E/O 5TH AVE NE; TOTAL FLOW; CH(AGG); 30Jul2012 11:30",18689,9896,1288,1404,"NE NORTHGATE WAY, E/O 5TH AVE NE","310035, 2012-07-30, TOTAL",2012,Y,"NE NORTHGATE WAY, E/O 5TH AVE NE",20075.8,0.981,19694,19700,18013,2973.23195899429
265,133200100,N,16929,NE 50TH ST,203,310019,"NE 50TH ST, W/O ROOSEVELT WAY NE; TOTAL FLOW; CH(AGG); 02Oct2012 11:30",21877,12175,1505,1810,"NE 50TH ST, W/O ROOSEVELT WAY NE","310019, 2012-10-02, TOTAL",2012,Y,"NE 50TH ST, W/O ROOSEVELT WAY NE",22415.8,0.978,21923,21900,16929,2477.37512075141
266,133200020,N,15656,NE 50TH ST,187,310007,"N 50TH ST, W/O 1ST AVE NE; TOTAL FLOW; CH(AGG); 26Jun2012 10:15",27363,14758,1834,2108,"N 50TH ST, W/O 1ST AVE NE","310007, 2012-06-26, TOTAL",2012,Y,"N 50TH ST, W/O 1ST AVE NE",28293.6,0.964,27275,27300,15656,4488.89504330414
267,132850170,N,16854,NE 45TH ST,99,311103,"NE 45TH ST, E/O 16TH AVE NE; TOTAL FLOW; CH(AGG); 04Dec2012 12:00",23487,12797,1596,1822,"NE 45TH ST, E/O 16TH AVE NE","311103, 2012-12-04, TOTAL",2012,Y,"NE 45TH ST, E/O 16TH AVE NE",24118.4,1.001,24143,24100,16854,3377.2988547137
268,132850100,N,16847,NE 45TH ST,159,310017,"NE 45TH ST, W/O ROOSEVELT WAY NE; TOTAL FLOW; CH(AGG); 02Oct2012 11:15",50011,25454,3099,3410,"NE 45TH ST, W/O ROOSEVELT WAY NE","310017, 2012-10-02, TOTAL",2012,Y,"NE 45TH ST, W/O ROOSEVELT WAY NE",51592,0.978,50457,50500,16847,2520.90984026272
269,6900445,N,2315,16TH AVE S,,,,,,,,,,,,,,,,,,2570.37853242317
270,77850010,R,489760,STEWART ST RAMP,,,,,,,,,,,,,,,,,,1118.1822105156
271,,N,1274,ALAKSAN WAY VI NB ON RP,,,,,,,,,,,,,,,,,,183.011077000356
272,,N,1271,ALASKAN WAY VI SB OFF RP,,,,,,,,,,,,,,,,,,1938.70386257426
273,101100010,N,13189,UNIVERSITY BR,223,310097,"UNIVERSITY BR, SW/O POINT A; TOTAL FLOW; CH(AGG); 19Oct2012 09:00",25280,17978,2261,3227,"UNIVERSITY BR, SW/O POINT A","310097, 2012-10-19, TOTAL",2012,Y,"UNIVERSITY BR, SW/O POINT A",27971.8,0.978,27356,27400,13189,2568.76809875073
